Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3
1621552431.8006847,"[label: ""angles""
size: 4
stride: 1]",0,-0.17089708149433136,0.3778572678565979,0.07118285447359085,0.9071665406227112
1621552459.4649768,"[label: ""angles""
size: 4
stride: 1]",0,-0.03752428665757179,0.27092504501342773,0.010569926351308823,0.9618107080459595
1621552484.6724927,"[label: ""angles""
size: 4
stride: 1]",0,0.03263330087065697,0.5488404035568237,-0.021449297666549683,0.8350145220756531
1621552508.9441721,"[label: ""angles""
size: 4
stride: 1]",0,0.12248683720827103,0.37478190660476685,-0.050026893615722656,0.9176234602928162
1621552528.4641094,"[label: ""angles""
size: 4
stride: 1]",0,0.17958329617977142,0.2931262254714966,-0.05615738406777382,0.9373757243156433
1621552553.2722092,"[label: ""angles""
size: 4
stride: 1]",0,-0.06820634752511978,0.27190962433815,0.019324587658047676,0.9597080945968628
1621552577.304083,"[label: ""angles""
size: 4
stride: 1]",0,-0.06042424216866493,0.44279956817626953,0.02992548793554306,0.8940815925598145
1621552595.760206,"[label: ""angles""
size: 4
stride: 1]",0,-0.09339763969182968,0.47974225878715515,0.05144848674535751,0.8709059953689575
1621552617.760033,"[label: ""angles""
size: 4
stride: 1]",0,0.11022912710905075,0.5246779322624207,-0.0687420517206192,0.8413305878639221
1621552644.0715778,"[label: ""angles""
size: 4
stride: 1]",0,0.1462392807006836,0.20610244572162628,-0.031167587265372276,0.9670389890670776
