Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3
1621545712.5680106,"[label: ""angles""
size: 4
stride: 1]",0,-0.16110484302043915,0.39510849118232727,0.07059808820486069,0.901637613773346
1621545749.4557314,"[label: ""angles""
size: 4
stride: 1]",0,-0.044820889830589294,0.2780703902244568,0.012990429066121578,0.9594264626502991
1621545781.591949,"[label: ""angles""
size: 4
stride: 1]",0,0.011152982711791992,0.4873965084552765,-0.006226095370948315,0.8730873465538025
1621545808.0716856,"[label: ""angles""
size: 4
stride: 1]",0,0.01831311732530594,0.46668848395347595,-0.009666048921644688,0.8841792941093445
1621545838.865392,"[label: ""angles""
size: 4
stride: 1]",0,-0.16884124279022217,0.4020860493183136,0.07570870965719223,0.8967093229293823
1621545873.3292825,"[label: ""angles""
size: 4
stride: 1]",0,-0.017256712540984154,0.21823939681053162,0.0038597509264945984,0.975735068321228
1621545909.8166556,"[label: ""angles""
size: 4
stride: 1]",0,-0.07457152009010315,0.5264626145362854,0.046424876898527145,0.8456482291221619
1621545941.561081,"[label: ""angles""
size: 4
stride: 1]",0,-0.05561462789773941,0.4909885823726654,0.031428977847099304,0.8688207268714905
1621545979.7285526,"[label: ""angles""
size: 4
stride: 1]",0,0.018852630630135536,0.5183796286582947,-0.011431986466050148,0.8548663258552551
1621546014.408345,"[label: ""angles""
size: 4
stride: 1]",0,-0.15782597661018372,0.5363680720329285,0.10289808362722397,0.8226860165596008
